GROUP,DATA,LANG,TAG,C-BLEU,S-BLEU,METEOR,ROUGE
adamo,basts,java,@adamo_java_basts_0shot,0.0,1.8,0.1,0.24
adamo,basts,java,@adamo_java_cf+basts,31.38,37.64,25.59,49.9
adamo,basts,python,@adamo_python_basts_0shot,0.0,1.78,0.15,0.36
adamo,basts,python,@adamo_python_cf+basts,5.19,16.46,12.51,27.31
adamo,sit,java,+adamo_java_bf+gh+ca_cf+sit,29.06,35.75,20.53,44.2
adamo,sit,java,+adamo_java_bf+gh+ce_cf+sit,41.21,46.33,29.11,55.59
adamo,sit,java,+adamo_java_bf+gh+ci_cf+sit,40.65,45.99,28.83,55.31
adamo,sit,java,+adamo_java_bf+sit+ca_cf+sit,39.79,44.63,27.73,53.19
adamo,sit,java,+adamo_java_bf+sit+ce_cf+sit,40.5,45.42,28.02,53.45
adamo,sit,java,+adamo_java_bf+sit+ci_cf+sit,40.15,45.33,28.3,54.24
adamo,sit,java,@adamo_java_cf+sit,40.49,45.3,28.19,53.99
adamo,sit,java,@adamo_java_sit_0shot,0.0,1.79,0.12,0.22
adamo,sit,python,+adamo_python_bf+gh+ca_cf+sit,25.6,33.05,21.02,40.11
adamo,sit,python,+adamo_python_bf+gh+ce_cf+sit,28.37,35.44,23.25,44.28
adamo,sit,python,+adamo_python_bf+gh+ci_cf+sit,27.66,34.88,22.96,43.82
adamo,sit,python,+adamo_python_bf+sit+ca_cf+sit,25.84,33.42,21.42,40.97
adamo,sit,python,+adamo_python_bf+sit+ce_cf+sit,26.53,33.91,21.15,40.51
adamo,sit,python,+adamo_python_bf+sit+ci_cf+sit,26.22,33.65,21.79,41.44
adamo,sit,python,@adamo_python_cf+sit,26.52,33.85,21.68,41.25
adamo,sit,python,@adamo_python_sit_0shot,0.0,1.89,0.07,0.13
adamo1,sit,java,+adamo_java_af+gh+both_cf+sit,40.62,45.05,28.16,53.82
adamo1,sit,java,+adamo_java_af+gh+clm_cf+sit,40.18,45.22,28.2,53.94
adamo1,sit,java,+adamo_java_af+gh+mlm_cf+sit,40.5,45.05,27.98,53.4
adamo1,sit,java,+adamo_java_af+sit+both_cf+sit,40.45,44.93,27.98,53.64
adamo1,sit,java,+adamo_java_af+sit+clm_cf+sit,40.01,44.97,28.19,53.96
adamo1,sit,java,+adamo_java_af+sit+mlm_cf+sit,40.61,45.27,28.08,53.72
adamo1,sit,python,+adamo_python_af+gh+both_cf+sit,26.35,33.61,21.46,40.98
adamo1,sit,python,+adamo_python_af+gh+clm_cf+sit,26.35,33.68,21.73,41.41
adamo1,sit,python,+adamo_python_af+gh+mlm_cf+sit,26.47,33.83,21.55,40.99
adamo1,sit,python,+adamo_python_af+sit+both_cf+sit,26.86,34.21,22.16,42.37
adamo1,sit,python,+adamo_python_af+sit+clm_cf+sit,26.53,33.8,21.89,41.66
adamo1,sit,python,+adamo_python_af+sit+mlm_cf+sit,27.1,34.43,22.25,42.53
adamo2,sit,java,+adamo_java_af+gh+both_cf+sit,40.39,44.94,27.97,53.4
adamo2,sit,java,+adamo_java_af+gh+clm_cf+sit,39.82,44.97,28.1,53.95
adamo2,sit,java,+adamo_java_af+gh+mlm_cf+sit,40.61,45.18,28.03,53.49
adamo2,sit,java,+adamo_java_af+sit+both_cf+sit,40.51,45.09,28.07,53.68
adamo2,sit,java,+adamo_java_af+sit+clm_cf+sit,40.49,45.46,28.36,54.27
adamo2,sit,java,+adamo_java_af+sit+mlm_cf+sit,40.55,45.37,28.15,53.97
adamo2,sit,python,+adamo_python_af+gh+both_cf+sit,26.5,33.76,21.78,41.53
adamo2,sit,python,+adamo_python_af+gh+clm_cf+sit,26.34,33.67,21.81,41.69
adamo2,sit,python,+adamo_python_af+gh+mlm_cf+sit,26.28,33.56,21.46,40.85
adamo2,sit,python,+adamo_python_af+sit+both_cf+sit,27.03,34.3,22.25,42.49
adamo2,sit,python,+adamo_python_af+sit+clm_cf+sit,26.61,33.86,21.84,41.58
adamo2,sit,python,+adamo_python_af+sit+mlm_cf+sit,26.96,34.39,22.08,42.18
noisy,sit,java,=noisy_java_g0.01_i0.0_cf+sit,39.04,43.41,26.86,51.67
noisy,sit,java,=noisy_java_g0.04_i0.0_cf+sit,40.62,45.33,28.18,53.86
noisy,sit,java,=noisy_java_g0.09_i0.0_cf+sit,40.52,45.35,28.25,54.06
noisy,sit,java,=noisy_java_g0.16_i0.0_cf+sit,40.37,44.92,27.93,53.36
noisy,sit,java,=noisy_java_g0.25_i0.0_cf+sit,40.56,45.0,28.04,53.49
noisy,sit,python,=noisy_python_g0.01_i0.0_cf+sit,25.21,32.55,20.79,39.45
noisy,sit,python,=noisy_python_g0.04_i0.0_cf+sit,26.65,34.03,21.95,41.83
noisy,sit,python,=noisy_python_g0.09_i0.0_cf+sit,26.8,34.05,21.92,41.67
noisy,sit,python,=noisy_python_g0.16_i0.0_cf+sit,26.78,34.04,21.89,41.71
noisy,sit,python,=noisy_python_g0.25_i0.0_cf+sit,26.74,34.05,21.91,41.64
